類別,2022,2021,2020,2019,2018,2017,2016,2015
一年內到期長期負債,19314,"38,110","23,518",4567,2600,31800,"34,900","58,401"
不動產廠房及設備,2693837,"997,778","853,470",1975119,1555589,1352377,"1,072,050","1,062,542"
未分配盈餘,2323223,"863,710","716,653",1536379,1235280,1011513,"1,073,707","991,639"
母公司股東權益合計,2945653,"1,389,248","1,221,672",2168287,1849657,1621410,"1,676,818","1,522,058"
生物資產非流動,0,0,0,0,0,0,0,0
生物資產流動,0,0,0,0,0,0,0,0
共同控制下前手權益,0,0,0,0,0,0,0,0
合併前非屬共同控制股權,0,0,0,0,0,0,0,0
合約負債－非流動,0,N/A,N/A,0,0,0,0,N/A
合約負債－流動,70807,0,0,39763,13775,6784,"4,684",0
合約資產－非流動,0,N/A,N/A,0,0,0,0,N/A
合約資產－流動,0,0,0,0,0,0,0,0
存貨,221149,"48,682","67,052",193102,137353,82981,"103,231","73,881"
投資性不動產淨額,0,0,0,0,0,0,0,0
使用權資產,41914,N/A,N/A,32735,27728,17232,N/A,N/A
其他金融負債－流動,0,0,0,0,0,0,0,0
其他金融資產－流動,25964,"4,100","4,305",16631,10676,11041,"18,597","7,253"
其他長期借款－非流動,0,0,0,0,0,0,0,0
其他非流動負債,180850,"16,329","23,132",168212,2661,2305,"5,304","9,442"
其他非流動資產,53932,"1,908","1,859",37952,33482,21060,"3,285","4,267"
其他非流動資產－其他,12018,"1,908","1,859",5217,5754,3828,"3,285","4,267"
其他流動負債,219761,"36,582","27,701",120329,72080,47314,"57,077","65,588"
其他流動資產,12889,"3,385","3,533",10521,6590,5321,"5,406","4,222"
其他無形資產淨額,20207,"8,607","7,961",21443,20332,14960,"11,207","8,526"
其他應付款,454301,"99,730","58,673",348686,343209,310384,"81,586","93,398"
其他應收款,69,147,125,62,51,52,65,171
其他權益,-20506,"1,664","11,774",,,,,
法定盈餘公積,311147,"208,298","177,641",311147,311147,311147,"276,034","241,723"
股本,259304,"259,304","259,304",259304,259304,259304,"259,304","259,304"
股東權益總額,2960489,"1,390,051","1,222,634",2170733,1850622,1622095,"1,677,496","1,522,760"
長期預付租金,0,0,0,0,0,0,0,0
