代碼,名稱,成交量,最新價
HK-0757,Solargiga,613000,0.28
HK-2038,富士康,5085000,0.87
US-KOPN,Kopin(高平磊晶),261806,0.98
SG-ST,Singtel(新加坡電訊),21213000,2.38
HK-0008,香港電訊盈科,5972950,3.94
US-NOK,Nokia(諾基亞),20999662,4.63
HK-0315,數碼通電訊,1617500,4.93
US-ERIC,Ericsson(易利信),14852980,5.46
HK-0762,中國聯通,40036062,5.65
US-LPL,LG Display(樂金顯示器ADR),246454,6
US-ASX,Advanced Semi(日月光ADR),4884517,7.66
US-UMC,UMC(聯電ADR),6696776,8.6
HK-0992,lenovo(聯想集團),241155901,8.79
FR-FTE,Orange inh,3100,10.63
US-CLS,Celestica(天弘),215229,12.37
US-SPWR,SunPower Inc,3068741,12.41
NL-PHIA,Philips(飛利浦),5125488,14.8
HK-0981,SMIC(中芯國際),73359220,17.94
US-T,AT&T(美國電話電報),32061597,18.61
US-WB,Weibo Corp(新浪微博),923932,18.72
US-FLEX,Flextronics(岳捷),2349626,20.99
DE-DTE,Deutsche Telekom(德意志電訊),7698108,21.72
US-DXC,DXC Technology Company,1539632,23.36
US-IMOS,ChipMOS(南茂ADR),9767,24.06
US-AMKR,Amkor(安可),2330982,25.64
US-HPQ,Hewlett-Packard(惠普),5796401,27.72
US-INTC,Intel(英特爾),55931606,29.36
US-JNPR,Juniper Networks(瞻博網路),4084601,32.68
CN-000063,中興通訊ZTE,141632779,35.39
US-ATI,Allegheny Tech(阿爾根尼),1172167,37.73
US-MRVL,Marvell Tech(邁威),10616698,41.07
US-EBAY,eBAY Inc,4541786,42.66
US-RMBS,Rambus(藍博士),1069290,44.34
US-STM,STMicroelectronics(意法),3169301,49.21
US-CIEN,Ciena(喜雅納),2010487,49.23
US-CSCO,Cisco(思科),19439419,50.51
US-KLIC,Kulicke & Soffa(庫力索法),239605,51.94
SE-ERIC.B,Ericsson(易利信),8441634,56.31
US-NTAP,Network App(網路設備),1931146,61.06
US-MU,Micron(美光),18740564,61.16
HK-0941,中國移動通訊,33264269,62.55
TW-2498,宏達電,13733047,63
US-GLW,Corning(康寧),7163862,65.7
DE-IFX,Infineon(英飛凌),6738,68.68
US-BBY,Best Buy(好交易),1603996,74.32
HK-0522,ASM Pcific(先進太平洋科技),1360418,78.1
US-JBL,Jabil Circuit(傑碧電路),1361195,83.37
US-BABA,Alibaba Group(阿里巴巴),20349646,86.9
US-ORCL,Oracle(甲骨文),5852248,88.01
UK-VOD,Vodafone(伏得風),55262182,88.58
US-SPLK,Splunk Inc,908754,90.58
US-LSCC,Lattice Semi(萊迪思半導體),1855655,90.78
US-TSM,TSM(台積電ADR),7655139,92.79
US-AMD,AMD(超微),64743698,97.95
